,Valores reais,Valores preditos
0,[3],9
1,[8],8
2,[8],9
3,[0],0
4,[6],5
5,[6],9
6,[1],1
7,[6],9
8,[3],0
9,[1],1
10,[0],4
11,[9],9
12,[5],8
13,[7],7
14,[9],9
15,[8],8
16,[5],5
17,[7],0
18,[8],8
19,[6],6
20,[7],7
21,[0],0
22,[4],0
23,[9],9
24,[5],5
25,[2],7
26,[4],1
27,[0],0
28,[9],9
29,[6],6
30,[6],1
31,[5],8
32,[4],8
33,[5],5
34,[9],9
35,[2],9
36,[4],7
37,[1],1
38,[9],9
39,[5],5
40,[4],0
41,[6],6
42,[5],7
43,[6],8
44,[0],0
45,[9],9
46,[3],5
47,[9],9
48,[7],7
49,[6],5
50,[9],0
51,[8],9
52,[0],5
53,[3],9
54,[8],0
55,[8],8
56,[7],7
57,[7],1
58,[4],0
59,[6],0
60,[7],7
61,[3],5
62,[6],7
63,[3],9
64,[6],1
65,[2],1
66,[1],1
67,[2],0
68,[3],9
69,[7],0
70,[2],0
71,[6],0
72,[8],8
73,[8],8
74,[0],0
75,[2],5
76,[9],0
77,[3],0
78,[3],5
79,[8],8
80,[8],8
81,[1],9
82,[1],1
83,[7],7
84,[2],0
85,[5],9
86,[2],0
87,[7],9
88,[8],8
89,[9],9
90,[0],0
91,[3],3
92,[8],8
93,[6],6
94,[4],7
95,[6],9
96,[6],6
97,[0],0
98,[0],0
99,[7],0
100,[4],7
101,[5],0
102,[6],7
103,[3],9
104,[1],1
105,[1],1
106,[3],8
107,[6],9
108,[8],8
109,[7],7
110,[4],7
111,[0],0
112,[6],6
113,[2],0
114,[1],9
115,[3],0
116,[0],0
117,[4],4
118,[2],7
119,[7],7
120,[8],8
121,[3],5
122,[1],1
123,[2],2
124,[8],0
125,[0],0
126,[8],0
127,[3],5
128,[5],5
129,[2],0
130,[4],0
131,[1],1
132,[8],9
133,[9],9
134,[1],1
135,[2],0
136,[9],9
137,[7],9
138,[2],5
139,[9],1
140,[6],0
141,[5],5
142,[6],0
143,[3],9
144,[8],8
145,[7],0
146,[6],1
147,[2],9
148,[5],7
149,[2],5
150,[8],1
151,[9],9
152,[6],1
153,[0],0
154,[0],0
155,[5],0
156,[2],0
157,[9],9
158,[5],0
159,[4],7
160,[2],0
161,[1],1
162,[6],1
163,[6],6
164,[8],0
165,[4],4
166,[8],0
167,[4],9
168,[5],9
169,[0],0
170,[9],9
171,[9],9
172,[9],8
173,[8],8
174,[9],9
175,[9],9
176,[3],5
177,[7],0
178,[5],0
179,[0],0
180,[0],0
181,[5],7
182,[2],1
183,[2],0
184,[3],0
185,[8],8
186,[6],5
187,[3],0
188,[4],0
189,[0],0
190,[5],3
191,[8],8
192,[0],0
193,[1],1
194,[7],0
195,[2],0
196,[8],8
197,[8],8
198,[7],7
199,[8],0
200,[5],9
201,[1],1
202,[8],0
203,[7],7
204,[1],1
205,[3],0
206,[0],0
207,[5],5
208,[7],7
209,[9],9
210,[7],7
211,[4],0
212,[5],7
213,[9],9
214,[8],1
215,[0],0
216,[7],1
217,[9],9
218,[8],8
219,[2],2
220,[7],7
221,[6],4
222,[9],9
223,[4],7
224,[3],7
225,[9],9
226,[6],0
227,[4],0
228,[7],3
229,[6],0
230,[5],5
231,[1],9
232,[5],7
233,[8],8
234,[8],8
235,[0],0
236,[4],8
237,[0],9
238,[5],0
239,[5],0
240,[1],1
241,[1],9
242,[8],0
243,[9],9
244,[0],0
245,[3],0
246,[1],9
247,[9],8
248,[2],7
249,[2],0
250,[5],0
251,[3],5
252,[9],9
253,[9],9
254,[4],7
255,[0],0
256,[3],7
257,[0],0
258,[0],8
259,[9],1
260,[8],8
261,[1],9
262,[5],1
263,[7],9
264,[0],0
265,[8],8
266,[2],9
267,[4],0
268,[7],0
269,[0],0
270,[2],0
271,[3],5
272,[6],7
273,[3],8
274,[8],8
275,[5],7
276,[0],0
277,[3],7
278,[4],0
279,[3],7
280,[9],9
281,[0],0
282,[6],6
283,[1],1
284,[0],9
285,[9],9
286,[1],1
287,[0],0
288,[7],7
289,[9],9
290,[1],1
291,[2],7
292,[6],9
293,[9],9
294,[3],7
295,[4],6
296,[6],6
297,[0],0
298,[0],0
299,[6],7
300,[6],1
301,[6],0
302,[3],3
303,[2],0
304,[6],8
305,[1],8
306,[8],9
307,[2],0
308,[1],9
309,[6],8
310,[8],1
311,[6],1
312,[8],8
313,[0],0
314,[4],0
315,[0],0
316,[7],7
317,[7],0
318,[5],5
319,[5],5
320,[3],5
321,[5],3
322,[2],0
323,[3],5
324,[4],7
325,[1],1
326,[7],9
327,[5],0
328,[4],9
329,[6],9
330,[1],1
331,[9],9
332,[3],6
333,[6],6
334,[6],1
335,[9],1
336,[3],7
337,[8],9
338,[0],0
339,[7],7
340,[2],0
341,[6],6
342,[2],0
343,[5],0
344,[8],0
345,[5],5
346,[4],7
347,[6],1
348,[8],8
349,[9],9
350,[9],9
351,[1],1
352,[0],0
353,[2],0
354,[2],0
355,[7],7
356,[3],9
357,[2],0
358,[8],8
359,[0],0
360,[9],9
361,[5],5
362,[8],8
363,[1],0
364,[9],9
365,[4],9
366,[1],9
367,[3],0
368,[8],0
369,[1],1
370,[4],0
371,[7],7
372,[9],9
373,[4],7
374,[2],1
375,[7],7
376,[0],9
377,[7],9
378,[0],8
379,[6],1
380,[6],1
381,[9],9
382,[0],0
383,[9],8
384,[2],5
385,[8],8
386,[7],7
387,[2],6
388,[2],0
389,[5],7
390,[1],1
391,[2],0
392,[6],1
393,[2],8
394,[9],9
395,[6],6
396,[2],7
397,[3],0
398,[0],1
399,[3],0
400,[9],9
401,[8],8
402,[7],7
403,[8],0
404,[8],0
405,[4],5
406,[0],0
407,[1],9
408,[8],8
409,[2],0
410,[7],7
411,[9],8
412,[3],0
413,[6],1
414,[1],9
415,[9],9
416,[0],0
417,[7],7
418,[3],7
419,[7],9
420,[4],0
421,[5],0
422,[0],8
423,[0],7
424,[2],0
425,[9],9
426,[3],5
427,[4],7
428,[0],9
429,[6],6
430,[2],0
431,[5],5
432,[3],8
433,[7],9
434,[3],9
435,[7],7
436,[2],9
437,[5],7
438,[3],5
439,[1],9
440,[1],0
441,[4],7
442,[9],9
443,[9],9
444,[5],5
445,[7],9
446,[5],5
447,[0],0
448,[2],0
449,[2],0
450,[2],9
451,[9],9
452,[7],7
453,[3],8
454,[9],9
455,[4],0
456,[3],5
457,[5],5
458,[4],0
459,[6],9
460,[5],0
461,[6],1
462,[1],1
463,[4],5
464,[3],0
465,[4],6
466,[4],7
467,[3],0
468,[7],7
469,[8],8
470,[3],5
471,[7],0
472,[8],0
473,[0],8
474,[5],3
475,[7],7
476,[6],7
477,[0],0
478,[5],5
479,[4],0
480,[8],9
481,[6],9
482,[8],0
483,[5],8
484,[5],0
485,[9],9
486,[9],9
487,[9],9
488,[5],0
489,[0],0
490,[1],1
491,[0],0
492,[8],8
493,[1],1
494,[1],8
495,[8],0
496,[0],0
497,[2],2
498,[2],0
499,[0],0
500,[4],9
501,[6],6
502,[5],5
503,[4],0
504,[9],9
505,[4],0
506,[7],9
507,[9],9
508,[9],0
509,[4],5
510,[5],5
511,[6],1
512,[6],6
513,[1],1
514,[5],5
515,[3],9
516,[8],0
517,[9],9
518,[5],7
519,[8],0
520,[5],0
521,[7],7
522,[0],0
523,[7],7
524,[0],0
525,[5],8
526,[0],0
527,[0],0
528,[4],0
529,[6],0
530,[9],0
531,[0],0
532,[9],1
533,[5],8
534,[6],1
535,[6],6
536,[6],6
537,[2],8
538,[9],0
539,[0],1
540,[1],1
541,[7],1
542,[6],1
543,[7],0
544,[5],5
545,[9],9
546,[1],1
547,[6],7
548,[2],7
549,[5],8
550,[5],7
551,[5],7
552,[8],0
553,[5],0
554,[9],9
555,[4],0
556,[6],7
557,[4],4
558,[3],3
559,[2],0
560,[0],0
561,[7],7
562,[6],0
563,[2],0
564,[2],1
565,[3],8
566,[9],9
567,[7],9
568,[9],9
569,[2],0
570,[6],1
571,[7],7
572,[1],1
573,[3],9
574,[6],0
575,[6],9
576,[8],8
577,[9],9
578,[7],7
579,[5],9
580,[4],8
581,[0],0
582,[8],0
583,[4],9
584,[0],0
585,[9],0
586,[3],7
587,[4],0
588,[8],0
589,[9],9
590,[6],9
591,[9],9
592,[2],0
593,[6],6
594,[1],9
595,[4],0
596,[7],7
597,[3],8
598,[5],5
599,[3],5
600,[8],8
601,[5],5
602,[0],0
603,[2],7
604,[1],1
605,[6],0
606,[4],0
607,[3],0
608,[3],3
609,[9],9
610,[6],6
611,[9],0
612,[8],9
613,[8],8
614,[5],9
615,[8],8
616,[6],1
617,[6],0
618,[2],9
619,[1],1
620,[7],7
621,[7],1
622,[1],1
623,[2],2
624,[7],7
625,[9],9
626,[9],1
627,[4],9
628,[4],7
629,[1],9
630,[2],0
631,[5],0
632,[6],0
633,[8],0
634,[7],0
635,[6],9
636,[8],9
637,[3],0
638,[0],0
639,[5],5
640,[5],5
641,[3],8
642,[0],0
643,[7],7
644,[9],9
645,[1],0
646,[3],8
647,[4],8
648,[4],7
649,[5],7
650,[3],5
651,[9],9
652,[5],9
653,[6],6
654,[9],9
655,[2],0
656,[1],1
657,[1],1
658,[4],0
659,[1],1
660,[9],0
661,[4],5
662,[7],7
663,[6],6
664,[3],3
665,[8],0
666,[9],9
667,[0],0
668,[1],1
669,[3],5
670,[6],8
671,[3],7
672,[6],0
673,[3],3
674,[2],1
675,[0],0
676,[3],5
677,[1],9
678,[0],0
679,[5],3
680,[9],0
681,[6],6
682,[4],0
683,[8],9
684,[9],9
685,[6],8
686,[9],9
687,[6],9
688,[3],0
689,[0],0
690,[3],0
691,[2],0
692,[2],0
693,[7],7
694,[8],0
695,[3],8
696,[8],0
697,[2],0
698,[7],7
699,[5],5
700,[7],0
701,[2],0
702,[4],5
703,[8],0
704,[7],7
705,[4],5
706,[2],0
707,[9],1
708,[8],8
709,[8],8
710,[6],0
711,[8],0
712,[8],8
713,[7],9
714,[4],0
715,[3],9
716,[3],3
717,[8],9
718,[4],7
719,[9],9
720,[4],9
721,[8],0
722,[8],8
723,[1],1
724,[8],0
725,[2],0
726,[1],1
727,[3],1
728,[6],9
729,[5],0
730,[4],8
731,[2],0
732,[7],7
733,[9],9
734,[9],0
735,[4],8
736,[1],1
737,[4],0
738,[1],1
739,[3],7
740,[2],7
741,[7],7
742,[0],0
743,[7],0
744,[9],1
745,[7],0
746,[6],9
747,[6],1
748,[2],0
749,[5],5
750,[9],9
751,[2],0
752,[9],9
753,[1],1
754,[2],7
755,[2],0
756,[6],7
757,[8],0
758,[2],9
759,[1],1
760,[3],7
761,[6],7
762,[6],0
763,[0],0
764,[1],1
765,[2],5
766,[7],0
767,[0],9
768,[5],7
769,[4],9
770,[6],7
771,[1],9
772,[6],1
773,[4],5
774,[0],0
775,[2],2
776,[2],9
777,[6],0
778,[0],0
779,[5],9
780,[9],9
781,[1],1
782,[7],7
783,[6],8
784,[7],9
785,[0],0
786,[3],9
787,[9],0
788,[6],9
789,[8],0
790,[3],0
791,[0],0
792,[3],9
793,[4],7
794,[7],7
795,[7],7
796,[1],1
797,[4],8
798,[7],0
799,[2],7
800,[7],0
801,[1],1
802,[4],0
803,[7],7
804,[4],0
805,[4],3
806,[8],0
807,[4],3
808,[7],0
809,[7],8
810,[5],7
811,[3],0
812,[7],7
813,[2],5
814,[0],8
815,[8],8
816,[9],9
817,[5],5
818,[8],0
819,[3],0
820,[6],1
821,[2],7
822,[0],0
823,[8],8
824,[7],7
825,[3],0
826,[7],0
827,[6],1
828,[5],0
829,[3],0
830,[1],1
831,[3],8
832,[2],0
833,[2],5
834,[5],7
835,[4],4
836,[1],9
837,[2],0
838,[9],9
839,[2],0
840,[7],7
841,[0],0
842,[7],7
843,[2],8
844,[1],0
845,[3],0
846,[2],9
847,[0],0
848,[2],0
849,[4],1
850,[7],5
851,[9],9
852,[8],0
853,[9],9
854,[0],0
855,[7],0
856,[7],7
857,[0],8
858,[7],7
859,[8],0
860,[4],7
861,[6],1
862,[3],0
863,[3],0
864,[0],0
865,[1],1
866,[3],0
867,[7],0
868,[0],0
869,[1],1
870,[3],1
871,[1],1
872,[4],0
873,[2],0
874,[3],3
875,[8],8
876,[4],4
877,[2],5
878,[3],0
879,[7],1
880,[8],0
